"Number","BinBase.name","BHB","T3","IFG1","Ins","Gluc","Chol","blef_blw1","blef_efer","PCA"
1,"31659","BHB_cor","T3_cor",,,"Gluc_cor",,"blef_blw1_int","blef_efer_int",
2,"7490","BHB_cor","T3_cor",,,,,"blef_blw1_int","blef_efer_int",
3,"glyceric acid","BHB_cor","T3_cor",,,,"Chol_cor","blef_blw1_int","blef_efer_int",
4,"249248","BHB_cor","T3_cor",,,,,"blef_blw1_int","blef_efer_int",
5,"33415","BHB_cor","T3_cor",,,,,"blef_blw1_int","blef_efer_int",
6,"quinic acid",,"T3_cor",,,"Gluc_cor",,"blef_blw1_int",,
7,"gluconic acid","BHB_cor","T3_cor",,,"Gluc_cor",,"blef_blw1_int",,
8,"4986",,"T3_cor",,,,,,,
9,"2-hydroxyisovaleric acid",,,,,,,"blef_blw1_int",,
10,"hippuric acid","BHB_cor","T3_cor",,"Ins_cor","Gluc_cor","Chol_cor","blef_blw1_int",,
11,"121468","BHB_cor","T3_cor",,,"Gluc_cor",,"blef_blw1_int","blef_efer_int",
12,"4929",,,,,,,"blef_blw1_int","blef_efer_int",
13,"114501","BHB_cor","T3_cor",,,,,"blef_blw1_int","blef_efer_int",
14,"threonic acid","BHB_cor",,,,,,"blef_blw1_int","blef_efer_int",
15,"4721",,,,,,,"blef_blw1_int",,
16,"1996","BHB_cor","T3_cor",,,,,"blef_blw1_int",,
17,"4793",,"T3_cor",,,"Gluc_cor",,"blef_blw1_int",,
18,"46204",,,,,,,"blef_blw1_int",,
19,"321077",,"T3_cor",,,,,"blef_blw1_int",,
20,"31664",,"T3_cor",,,,,"blef_blw1_int",,
21,"18197",,"T3_cor",,,,,"blef_blw1_int",,
22,"41989",,,,,,,,,
23,"2-hydroxybutanoic acid",,,,,,,"blef_blw1_int",,"PCA_int"
24,"9392",,,,,,,"blef_blw1_int",,
25,"4533",,,,,,,"blef_blw1_int",,
26,"131144",,,,,,,,"blef_efer_int",
27,"1771",,,,,,,,"blef_efer_int",
28,"121473",,"T3_cor",,,,,"blef_blw1_int",,
29,"tryptophan",,,,,,,,,
30,"33386",,,,,,,"blef_blw1_int",,
31,"acetoacetate",,,,,,,,,
32,"lyxitol","BHB_cor","T3_cor",,,"Gluc_cor",,,,
33,"threitol","BHB_cor","T3_cor",,,"Gluc_cor","Chol_cor",,,
34,"1981","BHB_cor","T3_cor",,,"Gluc_cor","Chol_cor",,,
35,"2193","BHB_cor","T3_cor",,,,,,,
36,"87822",,"T3_cor",,,"Gluc_cor",,,,
37,"erythritol","BHB_cor","T3_cor",,"Ins_cor","Gluc_cor",,,,
38,"231695",,"T3_cor",,,,,,,
39,"methionine sulfoxide",,"T3_cor",,,"Gluc_cor",,,,
40,"41689","BHB_cor","T3_cor",,,"Gluc_cor","Chol_cor",,,
41,"2-aminobutyric acid",,,,,,,,,
42,"6-deoxyglucose",,,,,,,,,
43,"ketodeoxyhexonate",,,,,,,,,
44,"18488",,"T3_cor",,,,,,,
45,"133605",,"T3_cor",,,"Gluc_cor",,,,
46,"54642","BHB_cor","T3_cor",,,,,,,
47,"mannitol",,"T3_cor",,,"Gluc_cor",,,,
48,"4543",,"T3_cor",,,,,,,
49,"31559",,,,,,,,,
50,"cystine",,"T3_cor",,,,,,,
51,"345452",,,,,,,,,
52,"lactulose",,,,,,,,,
53,"319190",,,,,,,,,
54,"229167",,"T3_cor",,,,,,,
55,"2-hydroxyglutaric acid",,,,,,,,,
56,"4746","BHB_cor","T3_cor",,,,,,,
57,"isothreonic acid","BHB_cor","T3_cor",,,"Gluc_cor",,,,
58,"phosphate","BHB_cor","T3_cor",,,,,,,"PCA_int"
59,"glucose","BHB_cor","T3_cor",,"Ins_cor","Gluc_cor","Chol_cor",,,"PCA_int"
60,"54","BHB_cor",,,,,,,,
61,"lysine_2TMS",,,,,,,,,
62,"135260","BHB_cor","T3_cor",,,,,,,
63,"lysine",,"T3_cor",,,"Gluc_cor",,,,
64,"glutamine",,"T3_cor",,,,,,,
65,"gluconic acid lactone",,"T3_cor",,,"Gluc_cor",,,,
66,"127730",,,,,,,,,
67,"108145","BHB_cor","T3_cor",,,,,,,
68,"13140",,"T3_cor",,,,,,,
69,"11353",,"T3_cor",,,"Gluc_cor",,,,
70,"5396",,,,,,,,,
71,"4-hydroxybutyric acid",,,,,,,,,
72,"catechol",,"T3_cor",,,,,,,
73,"87756",,"T3_cor",,,"Gluc_cor",,,,
74,"344775",,,,,,,,,
75,"87877",,,,,,,,,
76,"6538",,"T3_cor",,,,,,,
77,"heptadecanoic acid","BHB_cor",,,,,,,,
78,"213228",,,,,,,,,
79,"pyrrole-2-carboxylic acid",,,,,,,,,
80,"1700",,,,,,,,,
81,"118850","BHB_cor",,,,,,,,
82,"3 hydroxybutyric acid","BHB_cor",,,,,,,,
83,"2 aminobutyric acid","BHB_cor",,,,,,,,
84,"17233","BHB_cor",,,,,,,,
85,"139467","BHB_cor",,,,,"Chol_cor",,,
86,"pipecolinic acid","BHB_cor",,,,,,,,
87,"120526","BHB_cor","T3_cor",,,,,,,
88,"oxoproline","BHB_cor","T3_cor",,,"Gluc_cor",,,,"PCA_int"
89,"ribonic acid","BHB_cor","T3_cor",,,"Gluc_cor",,,,
90,"170069","BHB_cor","T3_cor",,,,,,,
91,"uric acid","BHB_cor",,,,,,,,"PCA_int"
92,"8841","BHB_cor","T3_cor",,,,,,,
93,"phenylalanine","BHB_cor",,,,,,,,
94,"4928","BHB_cor","T3_cor",,,,,,,
95,"1760","BHB_cor","T3_cor",,,,,,,
96,"myristic acid","BHB_cor",,,,,,,,
97,"210272","BHB_cor","T3_cor",,,"Gluc_cor",,,,
98,"479","BHB_cor",,,,,,,,
99,"glycine","BHB_cor",,,,,,,,
100,"223106","BHB_cor","T3_cor",,,,,,,
101,"tocopherol alpha ","BHB_cor","T3_cor",,,,,,,
102,"serine","BHB_cor","T3_cor",,,"Gluc_cor",,,,
103,"5269","BHB_cor","T3_cor",,,"Gluc_cor",,,,
104,"fucose","BHB_cor","T3_cor",,,"Gluc_cor",,,,
105,"110985","BHB_cor",,,,,"Chol_cor",,,
106,"2 hydroxybutanoic acid","BHB_cor",,,,,,,,
107,"alanine","BHB_cor","T3_cor",,,"Gluc_cor",,,,"PCA_int"
108,"118791","BHB_cor",,,,,,,,
109,"490","BHB_cor","T3_cor",,,,,,,
110,"cis gondoic acid","BHB_cor",,,,,,,,
111,"uracil","BHB_cor","T3_cor",,,"Gluc_cor",,,,
112,"glutamic acid",,"T3_cor",,"Ins_cor","Gluc_cor",,,,
113,"5837",,"T3_cor",,,"Gluc_cor",,,,
114,"myo inositol",,"T3_cor",,,"Gluc_cor",,,,
115,"5990",,"T3_cor",,,"Gluc_cor",,,,
116,"163872",,"T3_cor",,,"Gluc_cor",,,,
117,"41682",,"T3_cor",,,"Gluc_cor",,,,
118,"pseudo uridine",,"T3_cor",,,,,,,
119,"2 hydroxyglutaric acid",,"T3_cor",,,"Gluc_cor",,,,
120,"6864",,"T3_cor",,,,,,,
121,"94170",,"T3_cor",,,"Gluc_cor",,,,
122,"129225",,"T3_cor",,,,,,,
123,"220689",,"T3_cor",,,,,,,
124,"16747",,"T3_cor",,,"Gluc_cor",,,,
125,"889",,"T3_cor",,,,,,,
126,"N acetylornithine",,"T3_cor",,,,,,,
127,"4550",,"T3_cor","IGF1_cor",,,,,,
128,"118987",,"T3_cor",,,,,,,
129,"307",,"T3_cor",,,"Gluc_cor",,,,
130,"4941",,"T3_cor",,,,,,,
131,"342924",,"T3_cor",,,"Gluc_cor",,,,
132,"6580",,"T3_cor",,,,,,,
133,"mannose",,"T3_cor",,"Ins_cor","Gluc_cor",,,,
134,"6574",,"T3_cor",,,,,,,
135,"hydroxycarbamate NIST",,"T3_cor",,,,,,,
136,"346561",,"T3_cor",,,,,,,
137,"aspartic acid",,"T3_cor",,,"Gluc_cor",,,,
138,"104788",,"T3_cor",,,,,,,
139,"103208",,"T3_cor",,,,,,,
140,"1912",,"T3_cor",,,,,,,
141,"orotic acid",,"T3_cor",,,,,,,
142,"xylitol",,"T3_cor",,,,,,,
143,"13107",,"T3_cor",,,"Gluc_cor",,,,
144,"342712",,"T3_cor",,,,,,,
145,"97753",,"T3_cor",,,,,,,
146,"4936",,"T3_cor",,,"Gluc_cor",,,,
147,"2 5 dihydroxypyrazine NIST",,"T3_cor",,,"Gluc_cor",,,,
148,"41697",,"T3_cor",,,,,,,
149,"parabanic acid NIST",,"T3_cor",,,,,,,
150,"163873",,"T3_cor",,,"Gluc_cor",,,,
151,"87769",,"T3_cor",,,,,,,
152,"beta alanine",,"T3_cor",,,"Gluc_cor",,,,
153,"41708",,"T3_cor",,,,,,,
154,"110289",,"T3_cor",,,,,,,
155,"4926",,"T3_cor",,,,,,,
156,"4933",,"T3_cor",,,,,,,
157,"41836",,"T3_cor",,,,,,,
158,"230607",,"T3_cor",,,"Gluc_cor",,,,
159,"5482",,"T3_cor",,,,,,,
160,"6115",,"T3_cor",,,"Gluc_cor",,,,
161,"4976",,"T3_cor",,,"Gluc_cor",,,,
162,"4985",,"T3_cor",,,,,,,
163,"43763",,"T3_cor",,,,,,,
164,"132414",,"T3_cor",,,,,,,
165,"3173",,"T3_cor",,,"Gluc_cor",,,,
166,"219490",,"T3_cor",,,,,,,
167,"31764",,"T3_cor",,,,,,,
168,"citrulline",,"T3_cor",,,"Gluc_cor",,,,
169,"ornithine",,"T3_cor",,,,,,,
170,"85132",,"T3_cor",,,,,,,
171,"224866",,"T3_cor",,,,,,,
172,"cholesterol",,"T3_cor","IGF1_cor",,,,,,
173,"87720",,"T3_cor",,,"Gluc_cor",,,,
174,"133026",,"T3_cor",,,"Gluc_cor",,,,
175,"7053",,"T3_cor",,,,"Chol_cor",,,
176,"citric acid",,"T3_cor",,,"Gluc_cor",,,,"PCA_int"
177,"31695",,"T3_cor",,,,,,,
178,"6104",,"T3_cor",,,,,,,
179,"ribitol",,"T3_cor",,,,,,,
180,"41691",,"T3_cor",,,,,,,
181,"341344",,"T3_cor",,,,,,,
182,"317475",,"T3_cor",,,,,,,
183,"126008",,"T3_cor",,,"Gluc_cor",,,,
184,"160463",,"T3_cor",,,,"Chol_cor",,,"PCA_int"
185,"231706",,"T3_cor",,,,,,,
186,"210682",,"T3_cor",,,,,,,
187,"347424",,"T3_cor",,,,,,,
188,"84188",,"T3_cor",,,,,,,
189,"2044",,"T3_cor",,,,,,,
190,"139436",,"T3_cor",,,,,,,
191,"adipic acid",,"T3_cor",,,"Gluc_cor",,,,
192,"106936",,"T3_cor",,,,,,,
193,"8441",,"T3_cor",,,,,,,
194,"4983",,"T3_cor",,,,,,,
195,"120665",,"T3_cor",,,,,,,
196,"93947",,"T3_cor",,,,,,,
197,"6526",,"T3_cor",,,,,,,
198,"20903",,"T3_cor",,,,,,,
199,"oxalic acid",,"T3_cor",,,,,,,"PCA_int"
200,"134760",,"T3_cor",,,,,,,
201,"2 piperidinobenzonitrile NIST",,"T3_cor",,,,,,,
202,"4 hydroxybutyric acid",,"T3_cor",,,,,,,
203,"240104",,"T3_cor",,,,,,,
204,"1177",,,"IGF1_cor",,,,,,
205,"methyl O D galactopyranoside",,,,"Ins_cor",,,,,
206,"112716",,,,,"Gluc_cor",,,,
207,"isoleucine",,,,,"Gluc_cor",,,,"PCA_int"
